inst                      ub
SBF2-0.75/arc111_c=5755   28
SBF2-0.75/arc111_c=8847   18
SBF2-0.75/Arc111_c=10027  16
SBF2-0.75/Arc111_c=10743  15
SBF2-0.75/arc111_c=11378  14
SBF2-0.75/Arc111_c=17067  10
SBF2-0.75/Sawyer30_c=33   11
SBF2-0.75/Sawyer30_c=47   8
SBF2-0.75/kilbrid_c=56    11
SBF2-0.75/kilbrid_c=62    10
SBF2-0.75/kilbrid_c=69    9
SBF2-0.75/kilbrid_c=111   6
SBF2-0.75/Tonge70_c=160   24
SBF2-0.75/Tonge70_c=168   23
SBF2-0.75/Tonge70_c=185   21
SBF2-0.75/Tonge70_c=195   20
SBF2-0.75/Tonge70_c=207   19
SBF2-0.75/Tonge70_c=220   18
SBF2-0.75/Tonge70_c=234   17
SBF2-0.75/Tonge70_c=251   15
SBF2-0.75/Tonge70_c=270   14
SBF2-0.75/Tonge70_c=293   13
SBF2-0.75/Tonge70_c=320   12
SBF2-0.75/Arc83_c=3786    22
SBF2-0.75/Arc83_c=3985    22
SBF2-0.75/Arc83_c=4206    20
SBF2-0.75/Arc83_c=4454    19
SBF2-0.75/Arc83_c=4732    18
SBF2-0.75/Arc83_c=5408    16
SBF2-0.75/Arc83_c=5824    14
SBF2-0.75/Arc83_c=6309    13
SBF2-0.75/Arc83_c=6883    12
SBF2-0.75/Arc111_c=5785   28
SBF2-0.75/Arc111_c=6016   27
SBF2-0.75/Arc111_c=6267   26
SBF2-0.75/Arc111_c=6540   25
SBF2-0.75/Arc111_c=6837   23
SBF2-0.75/Arc111_c=7162   22
SBF2-0.75/Arc111_c=7520   21
SBF2-0.75/Arc111_c=7916   20
SBF2-0.75/Arc111_c=8356   19
SBF2-0.75/Arc111_c=9400   17
SBF2-0.75/Arc111_c=11570  14
SBF2-0.75/roszieg_c=14    10
SBF2-0.75/roszieg_c=16    8
SBF2-0.75/roszieg_c=18    8
SBF2-0.75/roszieg_c=21    6
SBF2-0.75/roszieg_c=25    6
SBF2-0.75/roszieg_c=32    4
SBF2-0.75/buxey_c=27      13
SBF2-0.75/buxey_c=30      12
SBF2-0.75/buxey_c=33      11
SBF2-0.75/buxey_c=36      10
SBF2-0.75/buxey_c=41      8
SBF2-0.75/buxey_c=47      8
SBF2-0.75/buxey_c=54      7
SBF2-0.75/lutz1_c=1414    11
SBF2-0.75/lutz1_c=1572    10
SBF2-0.75/lutz1_c=1768    9
SBF2-0.75/lutz1_c=2020    8
SBF2-0.75/lutz1_c=2357    7
SBF2-0.75/lutz1_c=2828    6
SBF2-0.75/gunther_c=41    15
SBF2-0.75/gunther_c=44    12
SBF2-0.75/gunther_c=49    11
SBF2-0.75/gunther_c=54    9
SBF2-0.75/gunther_c=61    9
SBF2-0.75/gunther_c=69    8
SBF2-0.75/gunther_c=81    7
SBF2-0.75/hahn_c=2004     8
SBF2-0.75/hahn_c=2338     7
SBF2-0.75/hahn_c=2806     6
SBF2-0.75/hahn_c=3507     5
SBF2-0.75/hahn_c=4676     4
SBF2-0.75/warnecke_c=54   33
SBF2-0.75/warnecke_c=56   31
SBF2-0.75/warnecke_c=58   30
SBF2-0.75/warnecke_c=60   28
SBF2-0.75/warnecke_c=62   29
SBF2-0.75/warnecke_c=65   27
SBF2-0.75/warnecke_c=68   26
SBF2-0.75/warnecke_c=71   25
SBF2-0.75/warnecke_c=74   24
SBF2-0.75/warnecke_c=78   22
SBF2-0.75/warnecke_c=82   21
SBF2-0.75/warnecke_c=86   21
SBF2-0.75/warnecke_c=92   19
SBF2-0.75/warnecke_c=97   18
SBF2-0.75/warnecke_c=104  16
SBF2-0.75/warnecke_c=111  15
SBF2-0.75/wee-mag_c=28    63
SBF2-0.75/wee-mag_c=29    63
SBF2-0.75/wee-mag_c=30    62
SBF2-0.75/wee-mag_c=31    62
SBF2-0.75/wee-mag_c=32    61
