inst,elapsed,alg,lb,ub,blb
mp/HESKIA.IN2_TS0.25-med_EJ1,0.018222228,S_hoffmann/cbfs,4,4,4
mp/HESKIA.IN2_TS0.25-med_EJ10,0.019228356,S_hoffmann/cbfs,4,4,4
mp/HESKIA.IN2_TS0.25-med_EJ2,0.020565301,S_hoffmann/cbfs,4,4,4
mp/HESKIA.IN2_TS0.25-med_EJ3,0.028509105,S_hoffmann/cbfs,5,5,5
mp/HESKIA.IN2_TS0.25-med_EJ4,0.011757381,S_hoffmann/cbfs,5,5,5
mp/HESKIA.IN2_TS0.25-med_EJ5,1.148050787,S_hoffmann/cbfs,5,5,5
mp/HESKIA.IN2_TS0.25-med_EJ6,0.020923474,S_hoffmann/cbfs,4,4,4
mp/HESKIA.IN2_TS0.25-med_EJ7,0.018186104,S_hoffmann/cbfs,4,4,4
mp/HESKIA.IN2_TS0.25-med_EJ8,120.622973338,S_hoffmann/cbfs,6,6,6
mp/HESKIA.IN2_TS0.25-med_EJ9,0.016607296,S_hoffmann/cbfs,8,8,8
mp/HESKIA.IN2_TS0.75_EJ1,0.007936554,S_hoffmann/cbfs,7,7,7
mp/HESKIA.IN2_TS0.75_EJ10,0.013656007,S_hoffmann/cbfs,4,4,4
mp/HESKIA.IN2_TS0.75_EJ2,0.012666566,S_hoffmann/cbfs,5,5,5
mp/HESKIA.IN2_TS0.75_EJ3,0.007359454,S_hoffmann/cbfs,5,5,5
mp/HESKIA.IN2_TS0.75_EJ4,0.011877581,S_hoffmann/cbfs,5,5,5
mp/HESKIA.IN2_TS0.75_EJ5,0.015208913,S_hoffmann/cbfs,5,5,5
mp/HESKIA.IN2_TS0.75_EJ6,0.015218831,S_hoffmann/cbfs,4,4,4
mp/HESKIA.IN2_TS0.75_EJ7,0.013404509,S_hoffmann/cbfs,4,4,4
mp/HESKIA.IN2_TS0.75_EJ8,0.006402463,S_hoffmann/cbfs,8,8,8
mp/HESKIA.IN2_TS0.75_EJ9,0.0170407,S_hoffmann/cbfs,6,6,6
mp/HESKIA.IN2_TS0.75-med_EJ1,8.467389319,S_hoffmann/cbfs,9,9,9
mp/HESKIA.IN2_TS0.75-med_EJ10,0.816942913,S_hoffmann/cbfs,7,7,7
mp/HESKIA.IN2_TS0.75-med_EJ2,0.459586536,S_hoffmann/cbfs,4,4,4
mp/HESKIA.IN2_TS0.75-med_EJ3,7.492376841,S_hoffmann/cbfs,5,5,5
mp/HESKIA.IN2_TS0.75-med_EJ4,0.334203836,S_hoffmann/cbfs,5,5,5
mp/HESKIA.IN2_TS0.75-med_EJ5,0.971139808,S_hoffmann/cbfs,5,5,5
mp/HESKIA.IN2_TS0.75-med_EJ6,0.17024154,S_hoffmann/cbfs,4,4,4
mp/HESKIA.IN2_TS0.75-med_EJ7,0.488781682,S_hoffmann/cbfs,6,6,6
mp/HESKIA.IN2_TS0.75-med_EJ8,1.717303252,S_hoffmann/cbfs,5,5,5
mp/HESKIA.IN2_TS0.75-med_EJ9,0.801962423,S_hoffmann/cbfs,7,7,7
mp/LUTZ1.IN2_TS0.25_EJ1,0.013122358,S_hoffmann/cbfs,7,7,7
mp/LUTZ1.IN2_TS0.25_EJ10,0.014734846,S_hoffmann/cbfs,9,9,9
mp/LUTZ1.IN2_TS0.25_EJ2,0.008853267,S_hoffmann/cbfs,7,7,7
mp/LUTZ1.IN2_TS0.25_EJ3,0.017157955,S_hoffmann/cbfs,11,11,11
mp/LUTZ1.IN2_TS0.25_EJ4,0.013090837,S_hoffmann/cbfs,8,8,8
mp/LUTZ1.IN2_TS0.25_EJ5,0.015041718,S_hoffmann/cbfs,9,9,9
mp/LUTZ1.IN2_TS0.25_EJ6,0.013660227,S_hoffmann/cbfs,8,8,8
mp/LUTZ1.IN2_TS0.25_EJ7,0.012786416,S_hoffmann/cbfs,6,6,6
mp/LUTZ1.IN2_TS0.25_EJ8,0.015727701,S_hoffmann/cbfs,9,9,9
mp/LUTZ1.IN2_TS0.25_EJ9,0.01511255,S_hoffmann/cbfs,9,9,9
mp/LUTZ1.IN2_TS0.25-med_EJ1,0.016002323,S_hoffmann/cbfs,12,12,12
mp/LUTZ1.IN2_TS0.25-med_EJ10,0.015511523,S_hoffmann/cbfs,9,9,9
mp/LUTZ1.IN2_TS0.25-med_EJ2,0.016413949,S_hoffmann/cbfs,9,9,9
mp/LUTZ1.IN2_TS0.25-med_EJ3,0.015232021,S_hoffmann/cbfs,6,6,6
mp/LUTZ1.IN2_TS0.25-med_EJ4,0.018702584,S_hoffmann/cbfs,7,7,7
mp/LUTZ1.IN2_TS0.25-med_EJ5,0.014087425,S_hoffmann/cbfs,6,6,6
mp/LUTZ1.IN2_TS0.25-med_EJ6,0.016469517,S_hoffmann/cbfs,8,8,8
mp/LUTZ1.IN2_TS0.25-med_EJ7,0.015272787,S_hoffmann/cbfs,9,9,9
mp/LUTZ1.IN2_TS0.25-med_EJ8,0.016186169,S_hoffmann/cbfs,9,9,9
mp/LUTZ1.IN2_TS0.25-med_EJ9,0.017863761,S_hoffmann/cbfs,10,10,10
mp/LUTZ1.IN2_TS0.75_EJ1,0.009216947,S_hoffmann/cbfs,7,7,7
mp/LUTZ1.IN2_TS0.75_EJ10,0.016237961,S_hoffmann/cbfs,9,9,9
mp/LUTZ1.IN2_TS0.75_EJ2,0.006895154,S_hoffmann/cbfs,7,7,7
mp/LUTZ1.IN2_TS0.75_EJ3,0.015270605,S_hoffmann/cbfs,9,9,9
mp/LUTZ1.IN2_TS0.75_EJ4,0.022628856,S_hoffmann/cbfs,7,7,7
mp/LUTZ1.IN2_TS0.75_EJ5,0.015654235,S_hoffmann/cbfs,7,7,7
mp/LUTZ1.IN2_TS0.75_EJ6,0.013603916,S_hoffmann/cbfs,7,7,7
mp/LUTZ1.IN2_TS0.75_EJ7,0.006958826,S_hoffmann/cbfs,6,6,6
mp/LUTZ1.IN2_TS0.75_EJ8,0.010737684,S_hoffmann/cbfs,7,7,7
mp/LUTZ1.IN2_TS0.75_EJ9,0.008007879,S_hoffmann/cbfs,9,9,9
mp/LUTZ1.IN2_TS0.75-med_EJ1,0.032785578,S_hoffmann/cbfs,7,7,7
mp/LUTZ1.IN2_TS0.75-med_EJ10,0.027094951,S_hoffmann/cbfs,9,9,9
mp/LUTZ1.IN2_TS0.75-med_EJ2,0.026049787,S_hoffmann/cbfs,14,14,14
mp/LUTZ1.IN2_TS0.75-med_EJ3,0.019242539,S_hoffmann/cbfs,9,9,9
mp/LUTZ1.IN2_TS0.75-med_EJ4,0.029484098,S_hoffmann/cbfs,7,7,7
mp/LUTZ1.IN2_TS0.75-med_EJ5,0.02742384,S_hoffmann/cbfs,8,8,8
mp/LUTZ1.IN2_TS0.75-med_EJ6,0.020235074,S_hoffmann/cbfs,11,11,11
mp/LUTZ1.IN2_TS0.75-med_EJ7,0.024217539,S_hoffmann/cbfs,14,14,14
mp/LUTZ1.IN2_TS0.75-med_EJ8,0.021395811,S_hoffmann/cbfs,8,8,8
mp/LUTZ1.IN2_TS0.75-med_EJ9,0.017845284,S_hoffmann/cbfs,12,12,12
mp/LUTZ2.IN2_TS0.25_EJ1,0.14553354,S_hoffmann/cbfs,26,26,26
mp/LUTZ2.IN2_TS0.25_EJ10,2.623008058,S_hoffmann/cbfs,44,44,44
mp/LUTZ2.IN2_TS0.25_EJ2,13.728879743,S_hoffmann/cbfs,37,37,37
mp/LUTZ2.IN2_TS0.25_EJ3,1.336412783,S_hoffmann/cbfs,31,31,31
mp/LUTZ2.IN2_TS0.25_EJ4,6.680231939,S_hoffmann/cbfs,37,37,37
mp/LUTZ2.IN2_TS0.25_EJ5,0.141535706,S_hoffmann/cbfs,31,31,31
mp/LUTZ2.IN2_TS0.25_EJ6,0.379731998,S_hoffmann/cbfs,31,31,31
mp/LUTZ2.IN2_TS0.25_EJ7,46.025909721,S_hoffmann/cbfs,32,32,32
mp/LUTZ2.IN2_TS0.25_EJ8,1.996559375,S_hoffmann/cbfs,29,29,29
mp/LUTZ2.IN2_TS0.25_EJ9,1.345939318,S_hoffmann/cbfs,49,49,49
mp/LUTZ2.IN2_TS0.25-med_EJ1,2.497435584,S_hoffmann/cbfs,48,48,48
mp/LUTZ2.IN2_TS0.25-med_EJ10,1.367428363,S_hoffmann/cbfs,52,52,52
mp/LUTZ2.IN2_TS0.25-med_EJ2,3.583313731,S_hoffmann/cbfs,45,45,45
mp/LUTZ2.IN2_TS0.25-med_EJ3,18.233578071,S_hoffmann/cbfs,29,29,29
mp/LUTZ2.IN2_TS0.25-med_EJ4,1.459357477,S_hoffmann/cbfs,48,48,48
mp/LUTZ2.IN2_TS0.25-med_EJ5,4.202509133,S_hoffmann/cbfs,30,30,30
mp/LUTZ2.IN2_TS0.25-med_EJ6,21.728016362,S_hoffmann/cbfs,37,37,37
mp/LUTZ2.IN2_TS0.25-med_EJ7,40.082427064,S_hoffmann/cbfs,35,35,35
mp/LUTZ2.IN2_TS0.25-med_EJ8,3.911966901,S_hoffmann/cbfs,27,27,27
mp/LUTZ2.IN2_TS0.25-med_EJ9,16.040031674,S_hoffmann/cbfs,33,33,33
mp/LUTZ2.IN2_TS0.75_EJ1,0.129943654,S_hoffmann/cbfs,33,33,33
mp/LUTZ2.IN2_TS0.75_EJ10,77.108875952,S_hoffmann/cbfs,25,25,25
mp/LUTZ2.IN2_TS0.75_EJ2,0.318095951,S_hoffmann/cbfs,33,33,33
